x,mu,sigma,f_exact
0.07607607607607608,0.9976977605669504,0.0013098033415170126,0.9971020161692921
0.07707707707707707,0.9976355597626423,0.0013010799388597056,0.9970251371902588
0.07807807807807808,0.9975722231764621,0.001292563710929338,0.9969472472120245
0.07907907907907907,0.9975077500744476,0.0012842533224782262,0.996868345997607
0.08008008008008008,0.9974421397240576,0.001276147376824133,0.9967884333068717
0.08108108108108109,0.997375391396929,0.0012682444162276012,0.9967075088965284
0.08208208208208208,0.9973075043658071,0.0012605429200824006,0.9966255725201267
0.08308308308308308,0.9972384779060803,0.0012530413063613253,0.9965426239280533
0.08408408408408408,0.99716831129561,0.0012457379308397037,0.9964586628675274
0.08508508508508508,0.9970970038146163,0.00123863108762988,0.996373689082597
0.08608608608608609,0.9970245547454795,0.001231719009861036,0.9962877023141352
0.08708708708708708,0.996950963373763,0.0012249998686018942,0.9962007022998358
0.08808808808808809,0.9968762289863662,0.0012184717750119737,0.9961126887742096
0.0890890890890891,0.9968003508736274,0.001212132781718237,0.9960236614685799
0.09009009009009009,0.9967233283277608,0.001205980880387108,0.9959336201110792
0.09109109109109109,0.9966451606429416,0.0012000140069162665,0.995842564426644
0.0920920920920921,0.9965658471170968,0.0011942300392625569,0.995750494137011
0.09309309309309309,0.9964853870491197,0.0011886268007659663,0.9956574089607131
0.0940940940940941,0.9964037797413141,0.0011832020607514745,0.9955633086130745
0.09509509509509509,0.996321024497945,0.0011779535350900558,0.9954681928062066
0.0960960960960961,0.9962371206264038,0.0011728788905457353,0.9953720612490035
0.0970970970970971,0.9961520674350481,0.00116797574384169,0.9952749136471375
0.0980980980980981,0.9960658642366411,0.0011632416640108786,0.9951767497030545
0.0990990990990991,0.9959785103445142,0.0011586741759652102,0.9950775691159695
0.10010010010010009,0.995890005075438,0.0011542707616981806,0.9949773715818616
0.1011011011011011,0.995800347749821,0.0011500288611213363,0.9948761567934699
0.1021021021021021,0.9957095376882705,0.0011459458761516345,0.994773924440288
0.1031031031031031,0.9956175742144353,0.0011420191722892247,0.9946706742085598
0.1041041041041041,0.9955244566554029,0.0011382460813189185,0.994566405781274
0.10510510510510511,0.9954301843406483,0.0011346239033916661,0.9944611188381599
0.1061061061061061,0.9953347566008972,0.0011311499093947038,0.9943548130556817
0.10710710710710711,0.9952381727708826,0.0011278213442477193,0.994247488107034
0.10810810810810811,0.9951404321869006,0.001124635428518368,0.9941391436621363
0.1091091091091091,0.9950415341871803,0.0011215893622734938,0.994029779387628
0.11011011011011011,0.994941478114356,0.0011186803270817173,0.9939193949468635
0.1111111111111111,0.9948402633116871,0.001115905487217742,0.9938079899999065
0.11211211211211211,0.9947378891265828,0.0011132619952341361,0.9936955642035247
0.11311311311311312,0.9946343549068786,0.0011107469926196465,0.9935821172111845
0.11411411411411411,0.9945296600048152,0.0011083576124167752,0.993467648673046
0.11511511511511512,0.9944238037746231,0.001106090983773942,0.993352158235957
0.11611611611611611,0.9943167855724084,0.0011039442304060945,0.9932356455434473
0.11711711711711711,0.9942086047576595,0.0011019144780881492,0.9931181102357239
0.11811811811811812,0.9940992606918542,0.0010999988541363723,0.9929995519496644
0.11911911911911911,0.9939887527395683,0.001098194490647803,0.992879970318812
0.12012012012012012,0.9938770802668841,0.0010964985265783458,0.9927593649733695
0.12112112112112113,0.9937642426437776,0.001094908110567883,0.9926377355401933
0.12212212212212212,0.9936502392417879,0.0010934204032466528,0.9925150816427877
0.12312312312312312,0.9935350694346994,0.0010920325783526507,0.9923914029012989
0.12412412412412413,0.9934187326007304,0.0010907418268200104,0.9922666989325093
0.12512512512512514,0.9933012281181846,0.0010895453567783574,0.9921409693498308
0.12612612612612611,0.9931825553700264,0.0010884403970781449,0.9920142137632991
0.12712712712712712,0.9930627137404997,0.0010874241985981237,0.9918864317795678
0.12812812812812813,0.9929417026167471,0.0010864940358719303,0.9917576230019016
0.12912912912912913,0.9928195213888671,0.0010856472087796098,0.9916277870301703
0.13013013013013014,0.9926961694493457,0.001084881044866635,0.9914969234608423
0.13113113113113112,0.9925716461926015,0.0010841929005007058,0.9913650318869786
0.13213213213213212,0.9924459510166628,0.0010835801617314293,0.9912321118982258
0.13313313313313313,0.992319083320865,0.001083040246954024,0.9910981630808098
0.13413413413413414,0.9921910425091482,0.0010825706068714042,0.9909631850175293
0.13513513513513514,0.9920618279865607,0.0010821687271839954,0.9908271772877492
0.13613613613613612,0.9919314391606235,0.001081832127345358,0.9906901394673934
0.13713713713713713,0.9917998754420125,0.001081558365384403,0.9905520711289387
0.13813813813813813,0.9916671362438763,0.00108134503427896,0.9904129718414075
0.13913913913913914,0.9915332209824328,0.0010811897658370099,0.9902728411703612
0.14014014014014015,0.9913981290758329,0.0010810902315197815,0.9901316786778928
0.14114114114114115,0.9912618599447569,0.0010810441414882005,0.9899894839226205
0.14214214214214213,0.9911244130136367,0.001081049247009787,0.9898462564596803
0.14314314314314314,0.9909857877082118,0.001081103338783393,0.9897019958407185
0.14414414414414414,0.9908459834577172,0.001081204249759186,0.9895567016138854
0.14514514514514515,0.9907049996932642,0.0010813498548564455,0.989410373323827
0.14614614614614616,0.990562835850028,0.0010815380696364305,0.9892630105116785
0.14714714714714713,0.9904194913641504,0.0010817668533744133,0.9891146127150563
0.14814814814814814,0.9902749656749563,0.0010820342064204785,0.9889651794680511
0.14914914914914915,0.9901292582249539,0.0010823381734519513,0.9888147103012196
0.15015015015015015,0.989982368459664,0.0010826768402012925,0.988663204741578
0.15115115115115116,0.9898342958254034,0.0010830483363867868,0.9885106623125933
0.15215215215215216,0.9896850397732635,0.0010834508338189608,0.9883570825341762
0.15315315315315314,0.9895345997554728,0.001083882547532917,0.988202464922673
0.15415415415415415,0.9893829752278975,0.0010843417345147131,0.9880468089908582
0.15515515515515516,0.9892301656486211,0.0010848266951993988,0.9878901142479257
